Province/State,Country/Region,Date,Confirmed Case
,Vietnam,04/01/2020,218
,Vietnam,04/02/2020,233
,Vietnam,04/03/2020,237
,Vietnam,04/04/2020,240
,Vietnam,04/05/2020,241
,Vietnam,04/06/2020,245
,Vietnam,04/07/2020,249
,Vietnam,04/08/2020,251
,Vietnam,04/09/2020,255
,Vietnam,04/10/2020,257
,Vietnam,04/11/2020,258
,Vietnam,04/12/2020,262
,Vietnam,04/13/2020,265
,Vietnam,04/14/2020,266
,Vietnam,04/15/2020,267
,Vietnam,04/16/2020,268
,Vietnam,04/17/2020,268
,Vietnam,04/18/2020,268
,Vietnam,04/19/2020,268
,Vietnam,04/20/2020,268
,Vietnam,04/21/2020,268
,Vietnam,04/22/2020,268
,Vietnam,04/23/2020,268
,Vietnam,04/24/2020,270
,Vietnam,04/25/2020,270
,Vietnam,04/26/2020,270
,Vietnam,04/27/2020,270
,Vietnam,04/28/2020,270
,Vietnam,04/29/2020,270
,Vietnam,04/30/2020,270
,Vietnam,05/01/2020,270
,Italy,04/01/2020,110574
,Italy,04/02/2020,115242
,Italy,04/03/2020,119827
,Italy,04/04/2020,124632
,Italy,04/05/2020,128948
,Italy,04/06/2020,132547
,Italy,04/07/2020,135586
,Italy,04/08/2020,139422
,Italy,04/09/2020,143626
,Italy,04/10/2020,147577
,Italy,04/11/2020,152271
,Italy,04/12/2020,156363
,Italy,04/13/2020,159516
,Italy,04/14/2020,162488
,Italy,04/15/2020,165155
,Italy,04/16/2020,168941
,Italy,04/17/2020,172434
,Italy,04/18/2020,175925
,Italy,04/19/2020,178972
,Italy,04/20/2020,181228
,Italy,04/21/2020,183957
,Italy,04/22/2020,187327
,Italy,04/23/2020,189973
,Italy,04/24/2020,192994
,Italy,04/25/2020,195351
,Italy,04/26/2020,197675
,Italy,04/27/2020,199414
,Italy,04/28/2020,201505
,Italy,04/29/2020,203591
,Italy,04/30/2020,205463
,Italy,05/01/2020,207428
,US,04/01/2020,213242
,US,04/02/2020,243622
,US,04/03/2020,275367
,US,04/04/2020,308650
,US,04/05/2020,336802
,US,04/06/2020,366317
,US,04/07/2020,397121
,US,04/08/2020,428654
,US,04/09/2020,462780
,US,04/10/2020,496535
,US,04/11/2020,526396
,US,04/12/2020,555313
,US,04/13/2020,580619
,US,04/14/2020,607670
,US,04/15/2020,636350
,US,04/16/2020,667592
,US,04/17/2020,699706
,US,04/18/2020,732197
,US,04/19/2020,758809
,US,04/20/2020,784326
,US,04/21/2020,811865
,US,04/22/2020,840351
,US,04/23/2020,869170
,US,04/24/2020,905358
,US,04/25/2020,938154
,US,04/26/2020,965785
,US,04/27/2020,988197
,US,04/28/2020,1012582
,US,04/29/2020,1039909
,US,04/30/2020,1069424
,US,05/01/2020,1103461
French Guiana,France,04/01/2020,51
French Guiana,France,04/02/2020,51
French Guiana,France,04/03/2020,57
French Guiana,France,04/04/2020,61
French Guiana,France,04/05/2020,61
French Guiana,France,04/06/2020,72
French Guiana,France,04/07/2020,72
French Guiana,France,04/08/2020,77
French Guiana,France,04/09/2020,83
French Guiana,France,04/10/2020,83
French Guiana,France,04/11/2020,83
French Guiana,France,04/12/2020,86
French Guiana,France,04/13/2020,86
French Guiana,France,04/14/2020,86
French Guiana,France,04/15/2020,86
French Guiana,France,04/16/2020,86
French Guiana,France,04/17/2020,96
French Guiana,France,04/18/2020,96
French Guiana,France,04/19/2020,96
French Guiana,France,04/20/2020,97
French Guiana,France,04/21/2020,97
French Guiana,France,04/22/2020,97
French Guiana,France,04/23/2020,107
French Guiana,France,04/24/2020,111
French Guiana,France,04/25/2020,111
French Guiana,France,04/26/2020,111
French Guiana,France,04/27/2020,111
French Guiana,France,04/28/2020,125
French Guiana,France,04/29/2020,125
French Guiana,France,04/30/2020,126
French Guiana,France,05/01/2020,128
French Polynesia,France,04/01/2020,37
French Polynesia,France,04/02/2020,37
French Polynesia,France,04/03/2020,39
French Polynesia,France,04/04/2020,40
French Polynesia,France,04/05/2020,41
French Polynesia,France,04/06/2020,42
French Polynesia,France,04/07/2020,47
French Polynesia,France,04/08/2020,51
French Polynesia,France,04/09/2020,51
French Polynesia,France,04/10/2020,51
French Polynesia,France,04/11/2020,51
French Polynesia,France,04/12/2020,53
French Polynesia,France,04/13/2020,55
French Polynesia,France,04/14/2020,55
French Polynesia,France,04/15/2020,55
French Polynesia,France,04/16/2020,55
French Polynesia,France,04/17/2020,55
French Polynesia,France,04/18/2020,55
French Polynesia,France,04/19/2020,55
French Polynesia,France,04/20/2020,56
French Polynesia,France,04/21/2020,56
French Polynesia,France,04/22/2020,57
French Polynesia,France,04/23/2020,57
French Polynesia,France,04/24/2020,57
French Polynesia,France,04/25/2020,57
French Polynesia,France,04/26/2020,57
French Polynesia,France,04/27/2020,57
French Polynesia,France,04/28/2020,58
French Polynesia,France,04/29/2020,58
French Polynesia,France,04/30/2020,58
French Polynesia,France,05/01/2020,58
Guadeloupe,France,04/01/2020,125
Guadeloupe,France,04/02/2020,128
Guadeloupe,France,04/03/2020,130
Guadeloupe,France,04/04/2020,134
Guadeloupe,France,04/05/2020,135
Guadeloupe,France,04/06/2020,135
Guadeloupe,France,04/07/2020,139
Guadeloupe,France,04/08/2020,141
Guadeloupe,France,04/09/2020,141
Guadeloupe,France,04/10/2020,143
Guadeloupe,France,04/11/2020,143
Guadeloupe,France,04/12/2020,143
Guadeloupe,France,04/13/2020,143
Guadeloupe,France,04/14/2020,145
Guadeloupe,France,04/15/2020,145
Guadeloupe,France,04/16/2020,145
Guadeloupe,France,04/17/2020,145
Guadeloupe,France,04/18/2020,148
Guadeloupe,France,04/19/2020,148
Guadeloupe,France,04/20/2020,148
Guadeloupe,France,04/21/2020,148
Guadeloupe,France,04/22/2020,148
Guadeloupe,France,04/23/2020,148
Guadeloupe,France,04/24/2020,149
Guadeloupe,France,04/25/2020,149
Guadeloupe,France,04/26/2020,149
Guadeloupe,France,04/27/2020,149
Guadeloupe,France,04/28/2020,149
Guadeloupe,France,04/29/2020,149
Guadeloupe,France,04/30/2020,151
Guadeloupe,France,05/01/2020,152
Mayotte,France,04/01/2020,94
Mayotte,France,04/02/2020,116
Mayotte,France,04/03/2020,128
Mayotte,France,04/04/2020,134
Mayotte,France,04/05/2020,147
Mayotte,France,04/06/2020,147
Mayotte,France,04/07/2020,171
Mayotte,France,04/08/2020,171
Mayotte,France,04/09/2020,184
Mayotte,France,04/10/2020,191
Mayotte,France,04/11/2020,196
Mayotte,France,04/12/2020,196
Mayotte,France,04/13/2020,207
Mayotte,France,04/14/2020,217
Mayotte,France,04/15/2020,217
Mayotte,France,04/16/2020,233
Mayotte,France,04/17/2020,245
Mayotte,France,04/18/2020,254
Mayotte,France,04/19/2020,271
Mayotte,France,04/20/2020,271
Mayotte,France,04/21/2020,311
Mayotte,France,04/22/2020,326
